ID;Titulo;Descripcion;Proyecto;Tipo;Prioridad;Dependencias;Estado
GDC-01;Ampliar TipologiaValidationConfig con TipologiaMGDCMatricula;Añadir propiedad TipologiaMGDCMatricula a TipologiaValidationConfig.cs para que se deserialice desde los JSON de tipologías. Los JSON que no la tengan usarán el default configurado.;DocumentIA.Core;Config;Alta;;Pendiente
GDC-02;Añadir setting GDC en configuración;Nuevas claves en appsettings.json: GDC:Endpoint, GDC:DefaultMatricula (OTROS_DOCUMENTOS), GDC:TimeoutSeconds, GDC:MaxRetries, GDC:InitialDelayMs. Crear clase GdcSettings para binding.;DocumentIA.Core;Config;Alta;;Pendiente
GDC-03;Crear modelos SubirGDCInput y ResultadoGDC;SubirGDCInput (IdActivo, Matricula, ContenidoBase64, NombreArchivo, SHA256, CorrelationId). ResultadoGDC (Exitoso, ObjectId, Mensaje, Intentos, DuracionMs, ErrorDetalle, YaExistia).;DocumentIA.Core;Modelo;Alta;;Pendiente
GDC-04;Ampliar ContratoSalida con ResultadoGDC;Añadir ResultadoGDC en DetalleEjecucion. Rellenar Integridad.GestorDocumental con el ObjectId devuelto. Rellenar Integridad.IdActivo.;DocumentIA.Core;Modelo;Alta;GDC-03;Pendiente
GDC-05;Crear IGdcService / GdcService (cliente SOAP SINTWS);Servicio que encapsula la comunicación SOAP con SINTWS. Dos operaciones: (1) ConsultarDocumento – comprobar si existe documento para IdActivo+Matricula. (2) SubirDocumento – upload con contenido base64, matricula e IdActivo. Construye envelopes SOAP 1.1 con namespace SINTWS. Parsea respuesta XML para extraer objectId.;DocumentIA.Core;Servicio;Alta;GDC-02;Pendiente
GDC-06;Añadir retry y circuit breaker al GdcService;Seguir patrón ResilientPlugin: exponential backoff, reintentos configurables, circuit breaker por fallos consecutivos. Codigos reintentables: 408, 429, 500, 502, 503, 504.;DocumentIA.Core;Resiliencia;Alta;GDC-05;Pendiente
GDC-07;Crear SubirGDCActivity (Durable Activity);Activity que: (1) lee matricula de la config de tipología (o default), (2) llama a IGdcService.ConsultarDocumento, (3) si no existe llama a IGdcService.SubirDocumento, (4) devuelve ResultadoGDC. Logging detallado.;DocumentIA.Functions;Activity;Alta;GDC-01,GDC-03,GDC-05;Pendiente
GDC-08;Integrar SubirGDCActivity en el Orquestador;Insertar paso 7.5 entre Integrar y Persistir controlado por SkipGDCUpload e IdActivo. Si SkipGDCUpload=true o IdActivo es nulo/vacío, se salta. El resultado se mapea a salida.DetalleEjecucion.GDC y salida.Integridad.GestorDocumental/IdActivo.;DocumentIA.Functions;Orquestador;Alta;GDC-04,GDC-07;Pendiente
GDC-09;Registrar GdcService y GdcSettings en DI (Program.cs);Registrar IGdcService como Scoped, GdcSettings vía IOptions pattern, HttpClient named para GDC.;DocumentIA.Functions;DI;Alta;GDC-05,GDC-02;Pendiente
GDC-10;Actualizar PersistirActivity para guardar ResultadoGDC;Persistir ObjectId GDC y estado de subida en las entidades de BD existentes. Añadir campos GdcObjectId y GdcEstado en DocumentoEjecucionEntity si es necesario.;DocumentIA.Functions;Persistencia;Media;GDC-04,GDC-08;Pendiente
GDC-11;Añadir tipologiaMGDCMatricula a todos los validation.json;Añadir la propiedad a nota.simple.1_2, nota.simple.1_3, nota.simple, tasacion y cedula. Valores: NOTA_SIMPLE para notas simples, TASACION para tasación, CEDULA para cédula.;DocumentIA.Functions;Config;Media;GDC-01;Pendiente
GDC-12;Mock SOAP server para GDC (desarrollo local);Script Python (estilo mock-soap-server.py existente) que simule los endpoints SINTWS de consulta y subida. Integrar en start-mock-servers.ps1.;scripts;Testing;Media;;Pendiente
GDC-13;Tests unitarios SubirGDCActivity y GdcService;Tests con mock de IGdcService para la activity. Tests del GdcService con HttpClient mockeado (respuestas SOAP). Cubrir: subida OK, documento ya existe, error SOAP, reintentos.;DocumentIA.Tests.Unit;Testing;Media;GDC-05,GDC-07;Pendiente
GDC-14;Test E2E con ingest nota simple y upload GDC;Script PowerShell de test que envíe un documento con IdActivo y verifique que la salida contiene ObjectId GDC.;tests/api-tests;Testing;Baja;GDC-08,GDC-12;Pendiente
